Index,Path,Subject,Valence,Arousal,Gender,Age,Satisfaction,Boring,Horrible,Calm,Funny
0,G1.pdf,S01,2,3,Female,24,8,1,3,2,
1,G2.pdf,S01,5,4,Female,24,7,2,1,8,8.0
2,G3.pdf,S01,2,9,Female,24,2,2,8,1,1.0
3,G4.pdf,S01,5,8,Female,24,8,1,1,3,9.0
4,G1.pdf,S02,1,1,Male,23,1,8,1,4,2.0
5,G2.pdf,S02,5,5,Male,23,5,2,1,7,6.0
6,G3.pdf,S02,1,9,Male,23,2,2,8,3,2.0
7,G4.pdf,S02,7,5,Male,23,8,2,2,7,9.0
8,G1.pdf,S03,1,2,Male,25,2,7,2,6,1.0
9,G2.pdf,S03,7,5,Male,25,8,1,1,8,8.0
10,G3.pdf,S03,2,9,Male,25,9,1,10,1,1.0
11,G4.pdf,S03,9,6,Male,25,9,1,1,3,9.0
12,G1.pdf,S04,2,4,Male,20,4,8,1,3,1.0
13,G2.pdf,S04,8,7,Male,20,7,3,1,9,6.0
14,G3.pdf,S04,3,9,Male,20,7,1,9,2,1.0
15,G4.pdf,S04,6,7,Male,20,8,1,1,3,9.0
16,G1.pdf,S05,3,3,Female,25,3,7,1,2,1.0
17,G2.pdf,S05,9,9,Female,25,8,2,1,5,7.0
18,G3.pdf,S05,1,9,Female,25,4,1,8,1,2.0
19,G4.pdf,S05,9,7,Female,25,7,2,1,3,8.0
20,G1.pdf,S06,2,3,Female,21,3,7,1,3,1.0
21,G2.pdf,S06,7,9,Female,21,7,1,1,7,3.0
22,G3.pdf,S06,4,5,Female,21,1,1,8,1,1.0
23,G4.pdf,S06,7,7,Female,21,7,1,1,8,8.0
24,G1.pdf,S07,3,1,Male,22,5,8,1,3,
25,G2.pdf,S07,7,6,Male,22,6,3,1,6,
26,G3.pdf,S07,5,7,Male,22,6,1,10,1,1.0
27,G4.pdf,S07,9,9,Male,22,8,1,1,1,10.0
28,G1.pdf,S08,2,1,Male,26,2,10,1,1,1.0
29,G2.pdf,S08,9,7,Male,26,8,3,1,8,8.0
30,G3.pdf,S08,1,1,Male,26,10,1,5,7,1.0
31,G4.pdf,S08,5,6,Male,26,8,1,1,6,6.0
32,G1.pdf,S09,5,5,Male,23,2,10,1,4,4.0
33,G2.pdf,S09,5,1,Male,23,8,1,1,8,6.0
34,G3.pdf,S09,3,7,Male,23,6,1,9,2,3.0
35,G4.pdf,S09,5,1,Male,23,8,1,1,8,8.0
36,G1.pdf,S10,5,5,Male,20,3,8,1,5,4.0
37,G2.pdf,S10,3,5,Male,20,3,1,1,7,2.0
38,G3.pdf,S10,3,7,Male,20,5,1,8,2,1.0
39,G4.pdf,S10,9,5,Male,20,8,1,1,5,10.0
40,G1.pdf,S11,5,1,Male,26,5,7,1,7,4.0
41,G2.pdf,S11,7,3,Male,26,8,1,1,8,6.0
42,G3.pdf,S11,3,4,Male,26,3,7,8,2,3.0
43,G4.pdf,S11,7,7,Male,26,8,1,1,2,8.0
44,G1.pdf,S12,5,3,Female,25,5,9,1,7,4.0
45,G2.pdf,S12,7,5,Female,25,8,1,1,5,8.0
46,G3.pdf,S12,5,5,Female,25,4,1,6,2,3.0
47,G4.pdf,S12,4,5,Female,25,7,1,2,5,6.0
48,G1.pdf,S13,7,1,Male,20,8,4,1,7,7.0
49,G2.pdf,S13,3,3,Male,20,3,6,1,7,3.0
50,G3.pdf,S13,3,4,Male,20,4,1,8,4,2.0
51,G4.pdf,S13,9,2,Male,20,9,1,2,7,9.0
52,G1.pdf,S14,3,1,Male,25,2,8,1,8,2.0
53,G2.pdf,S14,7,5,Male,25,6,3,1,6,7.0
54,G3.pdf,S14,4,7,Male,25,4,1,8,2,4.0
55,G4.pdf,S14,9,5,Male,25,8,1,2,4,10.0
56,G1.pdf,S15,4,3,Male,22,3,7,1,7,3.0
57,G2.pdf,S15,6,3,Male,22,8,3,1,9,7.0
58,G3.pdf,S15,2,7,Male,22,5,1,8,2,2.0
59,G4.pdf,S15,7,8,Male,22,7,3,1,1,8.0
60,G1.pdf,S16,3,2,Male,20,1,8,1,8,2.0
61,G2.pdf,S16,8,2,Male,20,5,2,1,8,6.0
62,G3.pdf,S16,1,6,Male,20,8,1,9,4,1.0
63,G4.pdf,S16,6,7,Male,20,9,1,2,2,7.0
64,G1.pdf,S17,4,1,Female,26,3,7,1,8,3.0
65,G2.pdf,S17,7,4,Female,26,9,3,1,7,7.0
66,G3.pdf,S17,3,6,Female,26,4,1,7,4,3.0
67,G4.pdf,S17,4,7,Female,26,7,1,1,2,6.0
68,G1.pdf,S18,7,2,Female,26,7,2,1,8,7.0
69,G2.pdf,S18,5,5,Female,26,5,3,1,6,5.0
70,G3.pdf,S18,4,6,Female,26,7,2,6,3,3.0
71,G4.pdf,S18,8,6,Female,26,9,1,1,2,7.0
72,G1.pdf,S19,5,2,Female,23,3,6,1,8,4.0
73,G2.pdf,S19,3,4,Female,23,2,7,1,6,3.0
74,G3.pdf,S19,4,5,Female,23,6,3,6,3,4.0
75,G4.pdf,S19,8,4,Female,23,9,1,1,4,9.0
76,G1.pdf,S20,2,3,Female,22,1,8,1,7,2.0
77,G2.pdf,S20,6,3,Female,22,7,2,1,7,7.0
78,G3.pdf,S20,2,8,Female,22,1,1,10,2,1.0
79,G4.pdf,S20,7,5,Female,22,8,1,1,5,8.0
80,G1.pdf,S21,1,4,Female,20,1,10,1,10,1.0
81,G2.pdf,S21,7,6,Female,20,8,2,1,6,7.0
82,G3.pdf,S21,1,9,Female,20,1,2,10,1,1.0
83,G4.pdf,S21,6,8,Female,20,7,1,1,2,8.0
84,G1.pdf,S22,3,4,Male,23,3,9,1,7,2.0
85,G2.pdf,S22,9,4,Male,23,9,2,1,8,8.0
86,G3.pdf,S22,3,6,Male,23,7,1,8,3,3.0
87,G4.pdf,S22,5,9,Male,23,8,1,1,1,6.0
88,G1.pdf,S23,2,3,Male,21,2,9,1,8,2.0
89,G2.pdf,S23,4,2,Male,21,4,3,1,9,6.0
90,G3.pdf,S23,2,4,Male,21,2,1,6,5,3.0
91,G4.pdf,S23,8,7,Male,21,9,1,1,3,9.0
92,G1.pdf,S24,4,2,Male,23,3,7,1,8,3.0
93,G2.pdf,S24,6,6,Male,23,6,5,1,7,6.0
94,G3.pdf,S24,4,5,Male,23,8,3,7,5,5.0
95,G4.pdf,S24,7,6,Male,23,8,1,1,6,8.0
96,G1.pdf,S25,4,1,Male,27,2,9,1,8,3.0
97,G2.pdf,S25,5,3,Male,27,5,2,1,7,6.0
98,G3.pdf,S25,4,6,Male,27,9,1,6,3,4.0
99,G4.pdf,S25,9,6,Male,27,9,1,1,3,9.0
100,G1.pdf,S26,6,4,Male,23,5,8,1,6,6.0
101,G2.pdf,S26,3,3,Male,23,2,2,1,7,2.0
102,G3.pdf,S26,2,7,Male,23,1,1,10,1,1.0
103,G4.pdf,S26,4,5,Male,23,7,1,1,5,7.0
104,G1.pdf,S27,2,3,Male,22,3,6,1,8,2.0
105,G2.pdf,S27,7,1,Male,22,8,1,1,10,8.0
106,G3.pdf,S27,1,7,Male,22,1,1,10,1,1.0
107,G4.pdf,S27,5,4,Male,22,5,1,1,7,5.0
108,G1.pdf,S28,1,4,Male,24,2,7,1,6,1.0
109,G2.pdf,S28,8,2,Male,24,9,1,1,8,8.0
110,G3.pdf,S28,1,4,Male,24,3,1,7,6,1.0
111,G4.pdf,S28,7,3,Male,24,8,1,1,7,7.0
